Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0811,Directly funded,Y,9,12,413,265,0.641646489,308,0.745762712,401,258,0.643391521,299,0.74563591,Y
2017-2018,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,187,52,0.278074866,58,0.310160428,184,50,0.27173913,56,0.304347826,Y
2017-2018,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1776,371,0.208896396,410,0.230855856,1688,346,0.204976303,382,0.226303318,Y
2017-2018,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,0398,Directly funded,Y,9,12,183,141,0.770491803,181,0.989071038,161,125,0.776397516,159,0.98757764,Y
2017-2018,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,111,54,0.486486486,58,0.522522523,86,36,0.418604651,39,0.453488372,Y
2017-2018,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1129,202,0.178919398,232,0.205491585,1108,196,0.176895307,223,0.201263538,Y
2017-2018,01,61143,0122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,9,12,344,213,0.619186047,251,0.729651163,335,207,0.617910448,244,0.728358209,Y
2017-2018,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3117,809,0.259544434,884,0.283606031,3038,783,0.257735352,857,0.282093483,Y
2017-2018,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,13,3,0.230769231,3,0.230769231,0,0,0,0,0,Y
2017-2018,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2934,578,0.197000682,698,0.237900477,2884,566,0.196255201,685,0.237517337,Y
2017-2018,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,109,48,0.440366972,52,0.47706422,104,44,0.423076923,48,0.461538462,Y
2017-2018,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,179,117,0.653631285,132,0.737430168,175,115,0.657142857,130,0.742857143,Y
2017-2018,01,61176,0127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,40,3,0.075,3,0.075,1,0,0,0,0,Y
2017-2018,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2273,371,0.163220414,439,0.193136824,2249,358,0.159181859,426,0.189417519,Y
2017-2018,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,167,78,0.467065868,83,0.497005988,142,69,0.485915493,74,0.521126761,Y
